,Recipe Name,Description,Prep Time,Cook Time,Serving Size,Group,Calories,Fat,Cholesterol,Sodium,Carbohydrate,Protein,Sugar,Fiber,Ingredients,Instructions
941,Hot Spinach Artichoke Dip,"
                We’re psyched about anything hot and melty that bread can be dipped into, which might explain our obsession with this cheesy hot spinach artichoke dip.
            ",10,30,8, Gluten Free Low-Carb Vegetarian,269,22 g,52 mg,744 mg,10 g,11 g,2 g,3 g,"1 (8 oz) packagecream cheese, softened
1/4 cupmayonnaise
1 cupparmesan cheese, grated
3cloves garlic, minced
1/4 cupfresh basil, minced
1 tspgarlic powder
1/2 tspsea salt
1 (14 oz) canartichoke hearts, drained, chopped
2 cupsraw spinach, roughly chopped
1 cupmozzarella cheese, grated, divided
","Preheat oven to 350°F. In a mixing bowl combine the cream cheese, mayonnaise, parmesan cheese, garlic, basil, garlic powder, salt, artichoke hearts, spinach and 1/2 cup mozzarella. Stir until combined.Spread ingredients out in an ovenproof skillet or a small 8 x 8 baking dish. Top with remaining 1/2 cup mozzarella cheese and bake uncovered for 30 minutes until dip begins to bubble. Serve warm or at room temp with bread or chips."
942,40 Best Fall Dinners,"
                These 40 Best Fall Dinners are sure to satisfy your craving for cozy weather comfort food and keep your whole family happy and well fed in the process.
            ",,,, Roundups,,,,,,,,,,
943,Easy Chicken Ramen Soup,"
                This Easy Chicken Ramen Soup is finished in 30 minutes and is a better-for-you, more grown-up version of your college days favorite.
            ",15,15,2,,903,53 g,246 mg,1661 mg,67 g,33 g,18 g,10 g,"1 tbsp4garlic cloves, minced
2 tbspginger, minced
6 cupschicken stock
3 tbspsoy sauce
1/2 bunchgreen onions, chopped
3.2 oz packageshiitake mushrooms, sliced
1 cup1/2 tspsalt
3 packsramen noodles (flavor packet discarded)
2sesame seeds
1/4 cup1 tbspchili paste/ sauce
1/2 bunchgreen onions, chopped
","In a small bowl, combine the 3 ingredients for the Scallion, Chili, Sesame oil. Set aside. Heat 1 tablespoon Organic Sesame Oil in a medium sized soup pot. Add the garlic and ginger and sauté until fragrant. Add the chicken stock, soy sauce, green onions, mushrooms, chicken and salt and bring to a boil. Add the 3 packages of ramen (noodles only, discard the flavor packet). Boil for 2 minutes until noodles are soft. Remove from heat. Sprinkle the sesame seeds over the soup and place the soft boiled (6 minute) egg in the bowl. Serve with the Scallion, chili, sesame oil."
944,Mediterranean Meatballs with Tzatziki,"
                These tender Mediterranean Meatballs are served with our favorite simple tzatziki sauce and make for a delicious and unexpected weeknight dinner.
            ",15,25,8, Dairy-Free Gluten Free Low-Carb Freezer Meals Kid Friendly Sheet Pan,264,14 g,117 mg,888 mg,9 g,27 g,2 g,1 g,"2 lbsground beef
1onion, grated
6garlic cloves, minced
1 tspground pepper
2 tspsalt
2 tspcumin
2 tsporegano, dried
1 tspcinnamon
½ cupflat leaf parsley, minced
2eggs
1/2 cuppanko or gluten free bread crumbs
1 cupGreek yogurt
1small cucumber, grated
1 tbspdried dill
2 tspza'atar (optional)
1-2cloves garlic, minced
1lemon, juiced
1/2 tspsea salt
1/4 tspblack pepper
","* This recipe makes 30 (golf ball) sized meatballs. Heat oven to 400° F. Place onion in a food processor or grate by hand. In a stand mixer or using your hands, mix the ground beef, onion, garlic, pepper, salt, cumin, oregano, cinnamon, eggs, panko and parsley until fully incorporated. Using a cookie scoop or heaping tablespoon, measure out roughly 30 meatballs. * Dipping your hand into a bowl of water before rolling them will make the meatball surface smooth. Transfer the meatballs to 2 lightly oiled parchment-lined rimmed baking sheets. Bake in the oven for 20-25 minutes, rotating the pans half way through.Meanwhile, make the tzatziki sauce. Mix all ingredients in a small bowl. Cover and place in the fridge for a 1 hour to allow flavors to meld.To Freeze:Allow meatballs to cool completely before freezing. Lay meatballs in a single layer in a freezer bag and seal, removing as much air as possible. Freeze for up to 3 months. When ready to use, preheat oven to 400°F. Arrange on a parchment lined baking sheet and bake for 15 minutes. "
945,Pecan Crusted Pork Chops with Apple Chutney,"
                Can you think of anything that screams fall more than pecan crusted pork chops with apple chutney? Ha, didn’t think so!
            ",30,25,6, Dairy-Free Gluten Free Low-Carb Kid Friendly,559,47 g,104 mg,766 mg,15 g,26 g,8 g,5 g,"6boneless pork chops (roughly 2.5 lbs)
1/4 cupstone ground mustard
2large eggs
2 cupsAmerican pecans
2 tbspfresh thyme leaves
1 tspsalt
1 tspgarlic powder
1/2 tsppepper
4 tbspolive oil
2 cupsgala or fuji apples, peeled, cored, diced
1/4 cupfinely chopped shallots
1 tbspwhole grain mustard
1 tbspbrown sugar
2 tbspapple cider vinegar
1/2 tspcinnamon
1/2 tspsalt
","Preheat oven to 350°F.In a pie pan, beat the eggs with the mustard, until fully incorporated. Set aside. 
Pulse the pecans, thyme, salt, garlic powder and pepper in the bowl of a food processor until coarsely ground. Pour pecan mixture onto a large plate and line a rimmed baking sheet with parchment paper. 
Heat the oil in a heavy saucepan set over medium high heat.
Dip each pork chop one at a time into the egg mixture and then gently press it into the pecan mixture ensuring it is coated on all sides. 
Place the pork chops a few at a time into the heated oil and cook for 1-2 minutes on each side, place on prepared baking sheet and repeat until all 6 pork chops are ready to go into the oven. Bake for 20-25 minutes until all of the pork chops are cooked with an internal temp of 145°F. 
While the pork chops are baking, make the chutney. 
Heat the apples, shallot, mustard, sugar, vinegar, cinnamon and salt in a small saucepan over medium-high heat. Bring to a boil. Reduce heat and simmer for 10 minutes until the liquid has absorbed and the apples are tender."
946,30 Best Soup Recipes,"
                We are excited to bring you this delicious compilation of our best soup recipes & hope this will become your new “look no further list” for cozy weather soups! Most Popular Soup Recipes—Hands Down!
            ",,,, Roundups,,,,,,,,,,
947,Chicken Fajita Burrito Bowl,"
                These fajita burrito bowls are ideal for meal prepping!! Taking cues from Chipotle’s burrito bowl, we like to pile everything up high making for one delicious prep ahead meal!
            ",20,15,6, Dairy-Free Gluten Free 30 Minutes Kid Friendly Sheet Pan,405,1 g,98 mg,869 mg,34 g,39 g,5 g,7 g,"2boneless skinless chicken breast
1/4 cup1 tbspolive oil
1lime juiced
1red onion
1red bell pepper, sliced
1green bell pepper, sliced
1yellow bell pepper, sliced
2 cupsbrown rice, cooked
113.5 oz can black beans
1sour cream
cilantro
","In a large bowl make a marinade using the taco seasoning, olive oil and lime juice. Toss chicken and vegetables in marinade and allow to marinate, covered for 1 hour.Preheat oven to 375°F. 
Spread ingredients across pan and allow to bake for 15 minutes, or until meat is cooked through. If you want to add some char to meat and veggies, broil for another 3 minutes.In a bowl spread out rice and top with all desired fixings. Enjoy! *Prep tip- Store all ingredients separately and build for meal prep. If making for lunch store the guacamole, sour cream, salsa and cilantro in a separate container than the rice, chicken and beans. Heat up the bowl and top with fixings! "
948,Coffee Cinnamon Rolls with Maple Cream Cheese Icing,"
                These coffee cinnamon rolls with maple-cream cheese frosting have it all. They're gooey, tender, sweet, and loaded with freshly ground coffee beans to give you a bit of extra pep in your step.
            ",2,20,12, Vegetarian Kid Friendly,703,36 g,73 mg,527 mg,89 g,7 g,54 g,2 g,"2 cupswhole milk
1/2 cupvegetable oil
1/2 cupsugar
1 packageactive dry yeast
4 1/2 cupsall-purpose flour, divided
1/2 tspbaking powder
1/2 tspbaking soda
1 1/2 tspsalt
1 cupbutter, very soft, not quite melted
1 cupsugar
2 tbspcinnamon
2 tbspfresh coffee grounds
1 (8 oz.)cream cheese
2 1/2 cupspowdered sugar
1/4 cupmilk
3 tbspbutter, melted
1/2 tspsalt
1 1/2 tspmaple extract
","Heat the milk, vegetable oil, and sugar in a medium saucepan over medium heat; do not allow the mixture to boil. Set aside and cool. When mixture has cooled to 100-110°F., sprinkle the yeast on top and let it sit on the milk for 2 minutes.
Add 4 cups of the flour. Stir until just combined, cover with a clean kitchen towel, and set aside in a relatively warm place for an hour. 
Remove the towel and add the baking powder, baking soda, salt and remaining ½ cup of flour. Stir thoroughly to combine.*use the dough right away, or place in a mixing bowl and refrigerate for up to 3 days, punching down the dough if it rises to the top of the bowl.Remove the dough from the pan or mixing bowl. On a floured baking surface, roll the dough into a large rectangle, about 30 x 10 inches. 
Spread the butter evenly over the surface of the dough. Sprinkle the sugar, cinnamon and coffee grounds evenly over the butter. 
Beginning at the end farthest from you, roll the rectangle tightly toward you. Use both hands and work slowly, being carful to keep the roll tight. When you reach the end, pinch the seam together. On a cutting board, using a sharp knife, make 12 rolls. Place the sliced rolls into a greased 9X13 baking pan.Preheat oven to 375° F. Cover rolls with a kitchen towel and set aside to rise on the countertop for at least 20 minutes before baking. Remove the towel and bake for 15-20 minutes, until golden brown. Don’t let the rolls get overly brown.In a large bowl, using a hand mixer or stand mixer, blend together the cream cheese, powdered sugar, milk, butter, salt and maple flavoring. Taste and add in more maple, sugar, butter or milk as needed until the icing reaches the desired consistency. After the rolls are finished baking, and still warm, generously coast them with the frosting."
949,Jalapeño Popper Mac and Cheese,"
                Jalapeño popper mac and cheese. The name alone gives away how indulgently delicious this dish is. It's perfect for those fall evenings and lazy Sunday afternoons!
            ",10,45,10, Kid Friendly,886,72 g,198 mg,1402 mg,35 g,34 g,7 g,2 g,"1 lbelbow macaroni, cooked
2 sticks (1 cup)butter, divided
1/3 cupflour
5 cupsSimple Truth Whole Milk
2 tspsalt
2 tspgarlic powder
1/2 tsppepper
3 cupswhite cheddar cheese, shredded, divided
4 cupspepper jack cheese, shredded, divided
8 ozSimple Truth Cream cheese, cubed
1 lbSimple Truth Bacon, cooked, chopped
8jalapeños, seeded and finely chopped, plus more for topping
1 cuppanko
","Heat oven to 375 degrees with rack in the middle of oven.Melt half of the butter in a large saucepan over medium heat. Add flour to melted butter whisking constantly until flour is fully absorbed in butter.Slowly whisk in milk one cup at a time. (The slower you add the milk quicker the sauce will thicken.)Once sauce is thick stir in cream cheese along with all grated cheese, reserving 1 cup, until cheese is melted.Add salt, pepper and garlic powder. Adjust seasoning if needed and add all but 2 tbsp of the bacon and jalapeños and remove from heat. While the sauce is cooking, cook pasta in a large pot according to package instructions. Stir together the cooked macaroni noodles and the sauce and transfer to a 9 x 13 baking dish, or a large (12-14”) skillet that has been prepped with cooking spray if needed.In a small skillet melt remaining butter. Remove from heat and toss panko into melted butter.Top with remaining cheese and buttered panko. Bake in the oven until golden and bubbling, 30-40 minutes.Once finished top with sliced jalapeños and reserved bacon. Serve warm."
950,30 Best Slow Cooker Recipes,"
                We’ve rounded up our 30 Best Slow-Cooker recipes! From meals that are perfect for cozy nights in, or to bringing to a party, or impressive enough to for company—there’s something for everyone here.
            ",,,, Roundups Slow Cooker,,,,,,,,,,
951,,,,,,,,,,,,,,,,
952,Iced Bulletproof Coffee,"
                A refreshing way to enjoy your favorite coffee on a hot day, this iced bulletproof coffee is a real treat.
            ",5,0,4, Gluten Free Low-Carb Vegetarian 30 Minutes,277,29 g,15 mg,102 mg,4 g,2 g,2 g,1 g,"1 cup2 cupsice
1 tablespoonMCT oil
1 (13.5 ounce) cancoconut milk, shaken
2 tablespoonsgrass fed butter
1 teaspoonvanilla extract
½ teaspoonground cinnamon
pinch ofsea salt
","Add the coffee concentrate, ice, oil, coconut milk, butter, vanilla, cinnamon and salt to a blender. Blend on high until fully combined.Note: Fats turn into solids when blended with ice. This drink tends to separate after a few minutes and should be enjoyed immediately after making. Stir often and enjoy!"
953,Turkey Stuffed Peppers,"
                Spiced with fresh jalapeños and taco seasoning, and sprinkled with pepper jack cheese, turkey-stuffed peppers are a protein-packed, veggie-laden, hassle-free meal that everyone will love.
            ",20,20,8, Gluten Free,321,12 g,62 mg,656 mg,30 g,24 g,4 g,6 g,"1lbground turkey
1/2 tspsalt
1 smallonion, minced
3cloves garlic, minced
1 cupcooked quinoa, cooked according to package instructions
114 oz can fire roasted diced tomatoes
1jalapeño, minced (optional)
2 tbsp1can black beans, rinsed and drained
1 1/2 cuppepper jack cheese, grated
4large bell peppers
cilantro
avocado
green onions
crumbled cotija or queso fresco, optional
","In a large skillet brown meat breaking up into bits. Once cooked through add in the salt and chopped onion and garlic and cook until onions are translucent.Remove meat mixture from heat and add in quinoa fire roasted tomatoes, jalapeño, taco seasoning, black beans and 1 cup of the cheese.Preheat oven to 350°F. Using a sharp knife cut peppers in half lengthwise and use a spoon to discard seeds. Line peppers on a lightly greased baking sheet.Using a large spoon divide filling equally between each bell pepper. Top with remaining cheese and bake for 20 minutes or until pepper is tender.While still hot top peppers with cilantro, avocado, green onions and cortina or quest fresco if desired. Serve immediately."
954,How to Build the Perfect Cheese Board,"
                If you’ve always wanted to know how to build the perfect cheese board, then today is your lucky day! Step by step, we’ll show you just how easy it can be to wow your guests.
            ",,,,,,,,,,,,,,
955,30 Best Grill Recipes,"
                Fun, easy, and delicious, we’ve rounded up the 30 best grill recipes, ever. From Memorial Day through Labor Day and beyond, they are sure to keep your grill loaded all summer long.
            ",,,, Roundups,,,,,,,,,,
956,,,,,,,,,,,,,,,,
957,Sheet Pan Chicken Fajitas,"
                These super-flavorful, easy sheet pan chicken fajitas make a simple, trusty weeknight supper or quick and adaptable meal for company—either way, it’s a winner.
            ",15,15,6, Dairy-Free Gluten Free Low-Carb Whole30 Kid Friendly Sheet Pan,240,6 g,98 mg,590 mg,10 g,34 g,3 g,2 g,"1/4 cup1 tbspolive oil
1lime, juiced
2 lbsboneless skinless chicken breasts, cut into thin slices
1red onion, sliced thin
1red bell pepper, sliced thin
1yellow bell pepper, sliced thin
1green bell pepper, sliced thin
small flour tortillas, warmed, optional
avocado, optional
cilantro, optional
salsa or hot sauce, optional
","In a large bowl make a marinade using the taco seasoning, olive oil and lime juice. Toss the chicken, red onion and bell peppers together with the marinade. If you have time, allow to marinate, covered for 1 hour. If not, bake right away.Preheat oven to 375° F.Spread the chicken and vegetable mixture onto a rimmed sheet pan. Bake for 15-20 minutes, or until meat is cooked through. If you want to add some char to meat and veggies, broil for another 3 minutes.Serve with warm tortillas, salsa, guacamole, avocado, sour cream and fresh cilantro."
958,Fresh Restaurant Style Salsa,"
                We’ve been on the hunt for the best restaurant-style salsa recipe for years and we have finally found it!
            ",15,30,8, Dairy-Free Gluten Free Vegan Vegetarian Whole30,119,8 g,0 mg,894 mg,10 g,3 g,4 g,3 g,"3 tbspcanola oil
8-10almost over ripe roma tomatoes
2-3jalapeños
1white onion, cut in half
6whole garlic cloves
1 cupcanned crushed tomatoes
1 bunchfresh cilantro leaves, roughly chopped
2-3 tspsea salt
1ripe avocado
","In a large pot heat oil over high heat. Crowd tomatoes, jalapeños, half of the white onion and garlic in a single layer in pan. Allow to cook on high without turning until vegetables are charred. Turn over and repeat on other side. Once completely charred, about 3-5 minutes on each side, reduce heat to low and cover pot with a lid. Allow to simmer with lid on for 15 minutes. Once cooked remove from heat and allow to cool completely. In a food processor add charred vegetables starting with only 1 jalapeño at a time along with crushed tomatoes. Add in cilantro, salt and other half of the white onion. Blend on low until desired texture is achieved. If not spicy enough, add more jalapeño one at a time. Add in avocado and pulse until avo is mixed in. Adjust salt as needed. Store for up to 1 week refrigerated in an airtight container. "
959,30 Best Summer Side Dishes,"
                We’ve rounded up the 30 best summer side dishes—from pasta salads to grilled corn and everything in between, we’ve got you covered.
            ",,,, Roundups,,,,,,,,,,
960,Smoky Grilled Salmon with Avocado Salad,"
                Need a quick summer dinner? Simple grilled salmon topped with fresh avocado and corn salad is a quick-summer-dinner overachiever.
            ",30,15,4, Dairy-Free Gluten Free,603,29 g,0 mg,584 mg,30 g,61 g,7 g,9 g,"1 1/2-2 lbssalmon filet
1 tbspolive oil
2limes
2 tbsp2slightly firm avocados, diced
1jalapeño, seeded and diced
2limes, juiced
1 tbspolive oil
1/4 cupcilantro
2ears of cooked or grilled corn, corn cut off husk
2garlic cloves, minced
1 pintcherry tomatoes, halved
1/2 tspsalt
freshly ground pepper
","Preheat grill to medium heat.On a large piece of foil, set salmon filet in the center. Drizzle with olive oil and sprinkle with taco seasoning. Squeeze limes over the seasoned salmon and bring edges of foil together to wrap the salmon.In a large bowl combine all ingredients for avocado salad, stir well and set aside.Set foiled salmon directly on grill. Close lid and cook for 12 minutes.Remove from grill and check for doneness. Salmon should be opaque and flaky, not dry.Top salmon with avocado salad and serve."
961,20 Best Summer Salads,"
                We’ve rounded up our 20 Best Summer Salads to help you embrace this season of fresh produce abundance.
            ",,,, Roundups,,,,,,,,,,
962,Green Bean Tempura with Curry Mayonnaise,"
                If you're intimidated by fried foods, this green bean tempura is sure to change your mind. Three ingredients and little effort will give you crowd pleasing results perfect for your next party!
            ",10,40,6, Dairy-Free Vegan Vegetarian,454,37 g,15 mg,565 mg,26 g,5 g,5 g,5 g,"2 lbsfresh green beans, trimmed
1 cupall-purpose flour
1 cupcold club soda
1/2 tspsea salt (plus more for finishing)
1 quartvegetable oil
1 cupmayonnaise
1 tbspred curry paste
1 tbsplime juice
","In a small bowl stir curry paste and lime juice into mayonnaise and blend until smooth. Set aside.Whisk flour and club soda and salt together until smooth. 
Pour vegetable oil into a large pot until 3 inches. Heat oil over medium-high heat until temp reaches 375°F or until batter sizzles when dropped in oil. 
Working in batches, coat 5-6 green beans in batter and drop in oil. Fry until lightly golden, about 3 minutes. Transfer to a paper towel lined plate and season with extra salt. 
Serve immediately with curry mayo."
963,Best Fresh Berry Recipes,"
                Summer has arrived, which means berries are here! There’s no better way to celebrate than by making one (or two or ten) of these 20 delicious fresh berry recipes.
            ",,,, Kid Friendly Roundups,,,,,,,,,,
964,Roasted Brussels Sprouts with Sweet Fish Sauce Dressing,"
                Sweet and sticky roasted Brussels sprouts with perfectly crispy, lacy edges are just as good as any version you’ll find at your favorite hot spot.
            ",15,15,6, Dairy-Free Gluten Free Sheet Pan,150,1 g,0 mg,757 mg,29 g,8 g,21 g,8 g,"1½ poundsBrussels sprouts, trimmed, halved
2 tablespoonsfish sauce
¼ cupbrown sugar
1 teaspoonsriracha
1 teaspoonred pepper flakes
1 teaspoonsesame oil
1 teaspoonrice vinegar
2 tablespoonsminced cilantro or fresh mint (optional)
","Preheat the oven to 400°F with a rack in the center position. In a small bowl combine the fish sauce, brown sugar, sriracha, red pepper flakes, sesame oil and vinegar. In a large bowl toss the Brussel sprouts with 2 tablespoons of the sauce. Transfer the Brussel sprouts to a rimmed baking sheet and spread out. Bake for 12 minutes. Turn the broiler on to high. Broil until browned and crispy, about 3 minutes. Toss with remaining sauce and herbs, if using."
965,Grilled Jerk Chicken Kebabs,"
                These grilled jerk chicken kebabs are ideal for summer BBQ's. Loaded with warm spices and brightened up with pineapple and peppers this family-friendly dinner is always a hit.
            ",20,15,8, Dairy-Free Gluten Free Low-Carb,412,17 g,90 mg,1064 mg,52 g,23 g,20 g,18 g,"2 lbsboneless skinless chicken thighs, cut into 1"" pieces
1/2 tspnutmeg
1 tbspallspice
1 tbspcinnamon
3 tbspbrown sugar
5green onions, ends trimmed off and discarded
3garlic cloves
1 tbsppaprika
1 tbspsalt
1 tspblack pepper
1 tbspdried thyme
1/4 cupolive oil
1/4 cupfresh squeezed lime juice
1 cupcilantro, packed
1red onion, cut into 2"" pieces, divided
1 lbbaby bell peppers, whole
1pineapple, cut into 2"" pieces
metal or bamboo skewers, soaked in water for an hour
","In a blender combine the nutmeg, allspice, cinnamon, brown sugar, green onions, garlic, paprika, salt black pepper thyme, olive oil, lime juice, cilantro and 1/4 of the red onion about 1/4 cup. Blend on high until smooth.Pour marinade over chicken and allow to marinate for 2-4 hours.Preheat grill to medium heat. On each skewer add chicken, pineapple, bell peppers and red onions, rotating ingredients evenly. Once prepared, place the chicken kebabs on the grill and cook until chicken is cooked through (registers 165°F on instant read thermometer), rotating often.*Serve with coconut rice!"
966,Coconut Rice Salmon Bowl,"
                Tender salmon paired perfectly with coconut rice, creamy avocado, mango, cucumber, and a zippy sauce that pulls the whole bowl together.
            ",20,20,4, Dairy-Free Gluten Free,1125,56 g,28 mg,1055 mg,106 g,38 g,30 g,27 g,"1 (16 oz)salmon fillet
1mango, sliced
3persian cucumbers, sliced
1avocado, sliced
1 cupedamame, cooked
1green onion, thinly sliced
1 small bunchcilantro
1/2 cuptoasted coconut
sesame seeds, optional
4 cups1small Fresno pepper, thinly sliced (optional)
1 (14 oz) cancoconut milk
2 tbspfish sauce
1/4 cupbrown sugar
1 tbspsoy sauce
2lime, zest and juice
2 tspsriracha
","Heat oven to 325° F. In a small bowl, whisk the marinade/dressing ingredients together. Place the salmon on a large sheet of aluminum foil or parchment fitted on a rimmed baking sheet. Top the salmon with 1/2 cup of the marinade (reserve the rest for the dressing to drizzle on the bowl). Cook the salmon in the oven for 15 minutes until the flesh easily flakes apart with a fork. To serve, place one scoop of coconut rice in a bowl. Top with 1/4 of the salmon, mango, cucumber, avocado and edamame. Sprinkle with green onions, cilantro, toasted coconut, sesame seeds and Fresno pepper if using.Drizzle with the dressing and serve. "
967,Pork Chops with Mushroom Cream Sauce,"
                If you’re craving a delicious, one-pan dinner that can be made in less than 30 minutes then these skillet-seared pork chops covered in mushroom cream sauce will be your new BEST FRIEND.
            ",10,20,4, Gluten Free 30 Minutes Kid Friendly,538,37 g,128 mg,761 mg,13 g,30 g,5 g,2 g,"4bone in pork chops 1 1/2-inch thick
2 tbspolive oil
1 tspsalt
freshly ground pepper
6 tbspbutter
2 lbscrimini mushrooms, tough ends removed, cut in half
3garlic cloves, minced
1 cupdry white wine
1 cupheavy cream
1 tbspdijon mustard
2 tbspfresh thyme, minced
1lemon
2 tbspfresh chives
","Pat pork chops dry with a paper towel and salt and generously pepper them.In a large heavy bottom skillet heat oil over high heat until you see wisps of smoke. Working with two pork chops at a time set seasoned meat into the pan. Brown without flipping for 3 minutes, flip and continue cooking for another 3 minutes. Continue flipping back and forth until internal temp reads 160°F. Continue this process with the remaining pork chops and set aside. Reduce heat to medium and add the butter to the pan. Once melted add mushrooms and stir until cooked through, about 5 minutes. Add in garlic and cook for 1 more minute. Pour the dry wine along with the fresh thyme into the pan and bring to a simmer. Allow mushroom mixture to simmer until wine is reduced by half.Add in heavy cream and mustard and stir until all ingredients are combine. Adjust seasoning with salt and pepper. Add pork chops to the pan, spooning the sauce over them. Finish the dish with freshly squeezed lemon juice and fresh chives. Serve warm with plenty of sauce and mushrooms."
968,Rosé Sangria,"
                As if you didn't love rosé enough. We’ve gone and loaded it with citrus, spiked it with gin, and then topped it off with a fizzy glug of club soda—meet rosé sangria, your new favorite cocktail.
            ",10,0,6, Dairy-Free Gluten Free Vegetarian 30 Minutes,421,4 g,0 mg,73 mg,38 g,4 g,35 g,0 g,"1bottle dry Rosé
3/4 cupsugar
2 cupclub soda (grapefruit Le Croix)
1 cuptriple sec
1 cupgin
1lime, juiced
1lemon, juiced
1grapefruit, juiced
3 cupsvarious sliced citrus of your choice
","Add all ingredients to a large pitcher and stir until combined. Serve over crushed ice in a sugar rimmed glass.**This is a great make ahead drink, just be sure to hold off on adding the bubbly water until the last minute, so that the drink is fresh and fizzy."
969,Jeweled Rice,"
                Fragrant and colorful, our easy jeweled rice recipe makes a stunning gem of a side dish, dressing up everything from a simple roast chicken to a full-on Middle Eastern feast.
            ",10,45,6, Gluten Free Vegan Vegetarian One Pot,319,10 g,0 mg,368 mg,56 g,3 g,31 g,4 g,"1orange
1/3 cupsugar
1/4 cupraw pistachios, unsalted, shelled, roughly chopped
1/2 cupsliced almonds
2 Tbspolive oil
1large shallot, chopped
2 cupsbasmati rice, rinsed
1/2 tspsea salt
1 tspground turmeric
1/4 tspground cumin
1/4 tspground cinnamon
1/4 tspallspice
6 ozdried fruit such as cranberries and raisins
chopped parsley for serving
","Using a citrus stripper, vegetable peeler or sharp knife remove the zest from the orange (taking care to just get the orange part and not the white part, which will be too bitter). If using a knife or vegetable peeler, slice the zest into thin srips. Add it to a small saucepan along with 1 cup of water and ⅓ cup sugar. Bring to a boil over high heat, then reduce heat to low and simmer for 7-10 minutes, drain and set aside.In a 3 quart dutch oven or soup pot, set over medium heat, dry toast the almonds and pistachios until slightly golden about 5 minutes. Remove from pan, set aside.Heat the olive oil in the same pot. Add the shallots and cook until tender, about 5-7 minutes. Add the rinsed rice to the shallots and sauté until opaque, about 2-3 minutes. Add the salt, turmeric, cumin, cinnamon and allspice to the pan and sauté for 1 minute, until fragrant. Pour 4 cups of water over the rice mixture and stir in the orange peels. Turn the heat to high and bring to a boil then reduce the heat to low, cover with a lid, and cook for 20 minutes until rice is tender and all the liquid has been absorbed.Once cooked, remove from heat and add the dried fruit and nuts. Put lid back on and allow to rest for 10 more minutes. Serve warm topped with fresh parsley."
970,Vegetable Pot Pie,"
                This savory vegetarian pot pie is full of mushrooms, herbs and potatoes, nestled under fresh, cheesy, sweet potato-and-thyme biscuits. YUM.
            ",20,40,6, Vegetarian One Pot,514,19 g,38 mg,1277 mg,62 g,11 g,10 g,6 g,"2 tbspolive oil
1large yellow onion, finely chopped
3cloves garlic, minced
1 tbspfresh thyme
1 tbsptomato paste
2 cupsred wine, such as Cabernet sauvignon or Pinot noir
3 cupsvegetable broth
2 cupscrimini mushrooms, quartered
2 cupsgreen beans, cut into 2-inch pieces
3 cupsbaby new potatoes, quartered
3carrots, cut into 2"" pieces
1 tbspWorcestershire sauce
3 tbspcornstarch
3/4 cupmashed cooked sweet potato, about 1 medium sweet potato
1/2 cupshredded parmesan cheese
1 tbspfresh thyme
1/3-1/2 cupbuttermilk, more as needed
1 1/2 cupsAll-purpose flour
1 tbspbaking powder
1 tspsea salt
6 tbspcold unsalted butter, cut into small bites
","Preheat oven to 375°F. Arrange rack in center of the oven.In a large ovenproof skillet heat the olive oil over medium heat. Add onions and cook until translucent, about 3-5 minutes. Add in garlic and fresh thyme and tomato paste, stirring until fragrant, about 1 minute. Add in wine and cook until it reduces by half, about 5-7 minutes.To the pot add the veggie broth and bring to a simmer over medium-high heat. Add in vegetables and worcestershire and allow to simmer for 20 minutes. Remove 1 cup of the liquid from the pan into a small bowl and whisk in corn starch. Add cornstarch mixture back into the pan, stirring until everything thickens. Season with salt and pepper.In a small bowl smash together the sweet potato, shredded parmesan cheese, fresh thyme and ⅓ cup of the buttermilk. Set aside.In a large bowl, whisk together the flour, baking powder and salt. Cut in the butter using your hands or a pastry cutter until course corn meal texture is achieved. Stir in the sweet potato mixture and add the remaining buttermilk 1 tablespoon at a time until mixture is moistened just enough to hold together.Using your hands gently form ⅓ cup size biscuits and set on top of the warm vegetable mixture.Set the pot pie filled skillet on the center rack and bake for 25 minutes or until biscuits are golden brown. Top with freshly ground pepper and parsley. Serve immediately."
